门店名称,大类名称,子类名称,菜品编码,菜品短编码,菜品名称,规格,出品分量(kg),损耗,物料单位,物料号,物料描述,单位
加拿大一店,酒水饮料,酒水,13070069,76069,獭祭 300ML,瓶,,,,1500915,攋祭（300ML/瓶）,瓶
加拿大一店,素菜,菌类,10030236,42239,竹笙,整份,,,,1501633,竹笙（1.125KG*4包/箱）,份
加拿大一店,素菜,根茎类,10020160,41167,贡菜,整份,,,,4516299,贡菜（1KG*10包/箱）,5.95
加拿大一店,素菜,根茎类,10020025,41025,冬瓜,整份,,,,4503604,冬瓜（LB）,
加拿大一店,素菜,根茎类,10020087,41087,甜玉米,整份,,,,1500755,甜玉米（44-48根/箱）,
加拿大一店,素菜,根茎类,10020051,41051,青笋,整份,,,,4504794,青笋/莴笋（10KG/箱）,
加拿大一店,素菜,根茎类,10020041,41041,高山青竹笋,整份,,,,1500891,竹笋（1KG*10包/箱）,
加拿大一店,小吃甜品,小吃类,11010005,50009,金馒头,整份,,,,4523357,馒头（400G*7袋/箱）,份
加拿大一店,小吃甜品,甜品类,11010407,50529,酒酿圆子（冰镇）,整份,,,,4702451,醪糟（米婆婆，900G*6瓶/件）,份
加拿大一店,小吃甜品,小吃类,10010044,40051,油条,整份,,,,1501634,千味传统大油条（450G*10包/箱）,份
加拿大一店,素菜,菌类,10030017,42017,海鲜菇,整份,,,,4502198,海鲜菇（150G*40盒/箱）,
加拿大一店,素菜,菌类,10020005,41006,木耳(半),半份,,,,1500826,木耳（5LB/包）,
加拿大一店,0,0,9020503,31840,捞派麻辣鸡膝（半）,半份,,,,4516995,,份
加拿大一店,0,0,9020503,31839,捞派麻辣鸡膝,整份,,,,4516995,,份
加拿大一店,荤菜,河/海鲜类,9030019,78645,冰鲜白虾(半）,半份,,,,1500703,带头南美白虾（30-40，4LB*6包/箱 ）,份
加拿大一店,荤菜,河/海鲜类,9030019,32019,冰鲜白虾,整份,,,,1500703,带头南美白虾（30-40，4LB*6包/箱 ）,份
加拿大一店,,,10020473,41507,8秒菠菜苗,整份,,,,1501769,,
加拿大一店,,,10020473,41508,8秒菠菜苗(半),半份,,,,1501769,,
加拿大一店,素菜,豆面制品,70001206,78509,8秒劲道油豆皮,整份,,,,4026797,冻油豆皮（龙伟，1KG*10包/件）,
加拿大一店,素菜,豆面制品,70001206,78510,8秒劲道油豆皮（半）,半份,,,,4026797,冻油豆皮（龙伟，1KG*10包/件）,
加拿大一店,素菜,豆面制品,10020270,41280,宽粉(半),半份,,,,1500802,黄龙火锅宽粉（240G*50包/箱）,
加拿大一店,素菜,豆面制品,10020270,41279,宽粉,整份,,,,1500802,黄龙火锅宽粉（240G*50包/箱）,
加拿大一店,经典火锅菜,经典火锅菜类,9010021,30022,捞派羊肉(半),半份,,,,4516492,羊腿肉（LB）,份
加拿大一店,经典火锅菜,经典火锅菜类,9010021,30021,捞派羊肉,整份,,,,4516492,羊腿肉（LB）,份
加拿大一店,经典火锅菜,经典火锅菜类,3010013,20013,捞派滑牛肉,整份,,,,4515419,去肥黄瓜条（LB）,份
加拿大一店,经典火锅菜,经典火锅菜类,3010013,20014,捞派滑牛肉(半),半份,,,,4515419,去肥黄瓜条（LB）,份
加拿大一店,荤菜,其他荤菜,3010015,20016,捞派鲜毛肚(半),半份,,,,1500684,毛肚（LB）,份
加拿大一店,荤菜,其他荤菜,3010015,20015,捞派鲜毛肚,整份,,,,1500684,毛肚（LB）,份
加拿大一店,经典火锅菜,经典火锅菜类,3010017,20018,捞派千层牛百叶(半),半份,,,,1500684,毛肚（LB）,份
加拿大一店,经典火锅菜,经典火锅菜类,3010017,20017,捞派千层牛百叶,整份,,,,1500684,毛肚（LB）,份
加拿大一店,素菜,根茎类,10020027,71120,山药,份,,,,4517567,去皮山药（10KG/箱）,
加拿大一店,荤菜,丸滑类,9020082,31083,虾丸,整份,,,,4020091,速冻虾滑（越南，DL443厂，1.6KG*6包/件）,份
加拿大一店,素菜,蔬菜类,10020560,41601,有机豆苗,盒,,,,4518288,豌豆苗（120G*6盆/箱）,
加拿大一店,酒水饮料,酒水,70003032,88502,MODELO 355ML,整份,,,,4518034,MODELO ESPECIAL（355ML*12瓶/箱）,瓶
加拿大一店,酒水饮料,酒水,70003032,1107199,MODELO 355ML,冰镇,,,,4518034,MODELO ESPECIAL（355ML*12瓶/箱）,瓶
加拿大一店,酒水饮料,酒水,70001157,78381,澪-气泡清酒 300ML,冰镇,,,,4518132,,瓶
加拿大一店,酒水饮料,酒水,70001157,78381,澪-气泡清酒 300ML,常温,,,,4518132,,瓶
加拿大一店,酒水饮料,酒水,70001051,78206,玫瑰梅酒 300ML,瓶,,,,4518129,ROSE UMESHU JAPANESE PLUM WINE（300ML*12瓶,瓶
加拿大一店,,,13020468,71468,香甜小米酒 750ML,瓶,,,,4518131,,
加拿大一店,荤菜,牛/羊肉,9010327,30399,鲜切金钱腱,整份,,,,4518106,金钱腱（LB）,份
加拿大一店,酒水饮料,酒水,13290039,1003650,SMIRNOFF ICE鸡尾酒330ML,瓶,,,,4518133,SMIRNOFF ICE（330ML*24瓶/箱）,杯
加拿大一店,酒水饮料,酒水,90000706,1000590,蜜桃梅酒 300ML,瓶,,,,4518130,,瓶
加拿大一店,酒水饮料,酒水,13030307,72306,MH Reserve Shiraz,瓶,,,,1500908,MH红酒（750ML/瓶）,瓶
加拿大一店,小吃甜品,主食类,11010221,50252,韭菜水饺（生）,整份,,,,1500732,韭菜鸡蛋水饺（思念，500G*20包/箱）,份
加拿大一店,0,0,14090099,84279,冰烤番薯,整份,,,,4517474,,份
加拿大一店,0,0,9010425,30657,卤味牛蹄筋,整份,,,,4515861,牛双筋（LB）,份
加拿大一店,,,90000479,97822,桃你欢心冰慕斯,个,,,,4032395,,份
加拿大一店,荤菜,丸滑类,70000977,1004157,脆爽Q弹竹荪虾滑(半),半份,,,,1501633,竹笙（1.125KG*4包/箱）,份
加拿大一店,荤菜,丸滑类,70000977,1004157,脆爽Q弹竹荪虾滑(半),半份,,,,4020091,速冻虾滑（越南，DL443厂，1.6KG*6包/件）,份
加拿大一店,荤菜,丸滑类,70000977,1004157,脆爽Q弹竹荪虾滑(半),半份,,,,4511455,飞鱼籽（TOBIKKO，500G*20盒/件）,份
加拿大一店,荤菜,丸滑类,70000977,78036,脆爽Q弹竹荪虾滑,整份,,,,1501633,竹笙（1.125KG*4包/箱）,份
加拿大一店,荤菜,丸滑类,70000977,78036,脆爽Q弹竹荪虾滑,整份,,,,4020091,速冻虾滑（越南，DL443厂，1.6KG*6包/件）,份
加拿大一店,荤菜,丸滑类,70000977,78036,脆爽Q弹竹荪虾滑,整份,,,,4511455,飞鱼籽（TOBIKKO，500G*20盒/件）,份
加拿大一店,,,9030334,32337,精品生蚝,整份,,,,4517418,,份
加拿大一店,荤菜,其他荤菜,10020084,41084,生鸡蛋,个,,,,1500781,咖色鸡蛋（30颗*6板/箱）,
加拿大一店,酒水饮料,饮料,90001201,1004228,浓浓抹茶生椰,瓶,,,,4518668,厚椰乳（菲诺，1KG*12瓶/件）,瓶
加拿大一店,酒水饮料,饮料,90001201,1004228,浓浓抹茶生椰,瓶,,,,4518307,抹茶粉（250G*12包/箱）,瓶
加拿大一店,酒水饮料,饮料,90001201,1004229,浓浓抹茶生椰,扎,,,,4518668,厚椰乳（菲诺，1KG*12瓶/件）,瓶
加拿大一店,酒水饮料,饮料,90001201,1004229,浓浓抹茶生椰,扎,,,,4518307,抹茶粉（250G*12包/箱）,瓶
加拿大一店,,,13100029,1001918,鲜橙大果粒乳酸菌,杯,,,,4518891,,杯
加拿大一店,,,13100029,1001918,鲜橙大果粒乳酸菌,杯,,,,4512206,,杯
加拿大一店,,,13100029,1001918,鲜橙大果粒乳酸菌,杯,,,,4519078,,杯
加拿大一店,,,13100029,1001918,鲜橙大果粒乳酸菌,杯,,,,1500776,橙子（40LB/箱）,杯
加拿大一店,,,13100029,1004231,鲜橙大果粒乳酸菌,扎,,,,4518891,,杯
加拿大一店,,,13100029,1004231,鲜橙大果粒乳酸菌,扎,,,,4512206,,杯
加拿大一店,,,13100029,1004231,鲜橙大果粒乳酸菌,扎,,,,4519078,,杯
加拿大一店,,,13100029,1004231,鲜橙大果粒乳酸菌,扎,,,,1500776,橙子（40LB/箱）,杯
加拿大一店,套餐,套餐类,3010184,20187,儿童套餐,整份,,,,,,
加拿大一店,素菜,菌类,10020017,41017,菌类拼盘,整份,,,,,,
